Tissue_ID,Longitude,Latitude,Source Database Pop,Island and Site
QTo-W-0222,-118.4297057,33.36387553,C-MtO,Catalina Mt. Orizaba
QTo-W-0223,-118.4297057,33.36387553,C-MtO,Catalina Mt. Orizaba
QTo-W-0224,-118.4257988,33.37408461,C-MtO,Catalina Mt. Orizaba
QTo-W-0225,-118.4257523,33.3738687,C-MtO,Catalina Mt. Orizaba
QTo-W-0226,-118.4257988,33.37408461,C-MtO,Catalina Mt. Orizaba
QTo-W-0227,-118.4288246,33.37375219,C-MtO,Catalina Mt. Orizaba
QTo-W-0228,-118.4257523,33.3738687,C-MtO,Catalina Mt. Orizaba
QTo-W-0229,-118.4257523,33.3738687,C-MtO,Catalina Mt. Orizaba
QTo-W-0230,-118.4257988,33.37408461,C-MtO,Catalina Mt. Orizaba
QTo-W-0231,-118.4257988,33.37408461,C-MtO,Catalina Mt. Orizaba
QTo-W-0232,-118.4257523,33.3738687,C-MtO,Catalina Mt. Orizaba
QTo-W-0233,-118.4288246,33.37375219,C-MtO,Catalina Mt. Orizaba
QTo-W-0234,-118.4288246,33.37375219,C-MtO,Catalina Mt. Orizaba
QTo-W-0235,-118.4288246,33.37375219,C-MtO,Catalina Mt. Orizaba
QTo-W-0236,-118.4275572,33.35802002,C-MtO,Catalina Mt. Orizaba
QTo-W-0237,-118.4275572,33.35802002,C-MtO,Catalina Mt. Orizaba
QTo-W-0238,-118.4275572,33.35802002,C-MtO,Catalina Mt. Orizaba
QTo-W-0239,-118.4275572,33.35802002,C-MtO,Catalina Mt. Orizaba
QTo-W-0240,-118.4275572,33.35802002,C-MtO,Catalina Mt. Orizaba
QTo-W-0241,-118.4307029,33.36570387,C-MtO,Catalina Mt. Orizaba
QTo-W-0242,-118.4307029,33.36570387,C-MtO,Catalina Mt. Orizaba
QTo-W-0243,-118.4307029,33.36570387,C-MtO,Catalina Mt. Orizaba
QTo-W-0244,-118.3908515,33.41783443,C-TR,Catalina Twin Rocks
QTo-W-0245,-118.3908515,33.41783443,C-TR,Catalina Twin Rocks
QTo-W-0246,-118.3908515,33.41783443,C-TR,Catalina Twin Rocks
QTo-W-0247,-118.3908515,33.41783443,C-TR,Catalina Twin Rocks
QTo-W-0248,-118.3908515,33.41783443,C-TR,Catalina Twin Rocks
QTo-W-0249,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0250,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0251,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0252,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0253,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0254,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0255,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0256,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0257,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0258,-118.4412646,33.37916389,C-TR,Catalina Twin Rocks
QTo-W-0259,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0260,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0261,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0262,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0263,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0264,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0265,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0266,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0267,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0268,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0269,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0270,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0271,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0272,-118.3785932,33.33075923,C-TR,Catalina Twin Rocks
QTo-W-0273,-119.5947481,34.01145626,SCr,Santa Cruz
QTo-W-0274,-119.5948524,34.01132784,SCr,Santa Cruz
QTo-W-0275,-119.6135246,34.0031249,SCr,Santa Cruz
QTo-W-0276,-119.6135807,34.00248362,SCr,Santa Cruz
QTo-W-0277,-119.8184211,33.98544521,SCr,Santa Cruz
QTo-W-0278,-119.8181025,33.98693996,SCr,Santa Cruz
QTo-W-0279,-119.696018,34.02669402,SCr,Santa Cruz
QTo-W-0280,-119.696018,34.02669402,SCr,Santa Cruz
QTo-W-0281,-119.696018,34.02669402,SCr,Santa Cruz
QTo-W-0282,-119.5747462,34.03668748,SCr,Santa Cruz
QTo-W-0283,-119.5747462,34.03668748,SCr,Santa Cruz
QTo-W-0284,-119.5747462,34.03668748,SCr,Santa Cruz
QTo-W-0285,-119.5747462,34.03668748,SCr,Santa Cruz
QTo-W-0286,-119.5747462,34.03668748,SCr,Santa Cruz
QTo-W-0287,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0288,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0289,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0290,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0291,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0292,-119.5947924,34.01149139,SCr,Santa Cruz
QTo-W-0293,-119.7901958,34.01417046,SCr,Santa Cruz
QTo-W-0294,-119.7901958,34.01417046,SCr,Santa Cruz
QTo-W-0295,-119.7914499,34.02998114,SCr,Santa Cruz
QTo-W-0296,-118.4299347,32.87207057,SCl,San Clemente QUETOM Eagle #1
QTo-W-0297,-118.4299347,32.87207057,SCl,San Clemente QUETOM Eagle #1
QTo-W-0298,-118.4299347,32.87207057,SCl,San Clemente QUETOM Eagle #1
QTo-W-0299,-118.4299347,32.87207057,SCl,San Clemente QUETOM Eagle #1
QTo-W-0300,-118.4299347,32.87207057,SCl,San Clemente QUETOM Eagle #1
QTo-W-0301,-118.4263794,32.87297704,SCl,San Clemente QUETOM Eagle #2
QTo-W-0302,-118.4263794,32.87297704,SCl,San Clemente QUETOM Eagle #2
QTo-W-0303,-118.4263794,32.87297704,SCl,San Clemente QUETOM Eagle #2
QTo-W-0304,-118.4263794,32.87297704,SCl,San Clemente QUETOM Eagle #2
